,playlist_id,name
0,423245641,☀清新夏日☀清新男声控|我想漂浮感受磁场
30,111450065,"带本书去旅行吧,人生最美好的时光在路上。"
150,102227390,『你所知道与不知道的---许巍』
216,95397262,【德彪西】钢琴作品集
266,574894008,环球之音，深邃空灵的天籁嗓音
436,606758060,国产精品电音
458,77349670,150首让你热血沸腾的魔兽世界PVP的BGM
608,718215847,ھەزرىتى ئەلى
651,97929779,asmr
657,590696230,乡村音乐，轻摇滚
679,699462306,EA7_海潮哥
729,102922518,全球历史上销量最高的100首单曲
829,140975707,这些粤语歌手也玩爵士
851,73911436,MLP my little pony
1109,499940093,钢琴Piano | 冬日里的星子和海滩
1132,469047234,「粤语」生而在世，此后无家
1172,16279067,催人泪下的动漫纯音
1229,66683650,【东方】竹取飛翔～Lunatic Princess
1667,651453284,原来肥猪的在这里啊
1689,436740236,烟鬼全集
1920,711936386,最爱
1934,571472133,每㈰一丧⠀⠀孤独を恐れないで
2209,482291366,乔伊重金属节奏吉他范例曲目
2236,619752169,YouTube9亿点击最快的50首
2286,588868573,传说之下(Undetale)战斗曲合集
2311,309864469,韩语☆甜蜜的男女对唱*✲ﾟ*all for U
2418,54672170,土耳其美女歌手：Ebru Gündes
2490,3940468,金庸影视经典歌曲大全
2527,637217676,玉头的歌
2601,649083076,温州中学铃声合集
2615,617443478,【静夜思-看书时听的音乐】
2705,3448933,[纵贯线]Live in Taipei 出发/终点站
2767,109734057,男声 多分性感刚刚好
2787,647342090,私用跑步歌单~（随时更新替换~）
2831,95031772,按了播放…停不下…………
2858,608953870,探险时光-寒冰王收藏
2878,104492670,最好的30首Gangsta Rap致敬永远的匪帮
2908,645082918,「 大概因为我是双子座 」
2940,25942288,星巴克咖啡店音乐
3092,313015078,比较正的红色歌曲。
3106,368785676,电喵大战皮卡丘（不定期查看更新）
3472,512189342,『Funk』摇摆律动 澎湃步伐
3520,422025797,CZFLS常外
3542,82765263,【耳机必备】同人声音（你们懂的）
3556,598618554,《论聋子是怎么练成的》
3599,551552218,天津大学专属歌单
3609,717443652,【年鉴】2016梁伟文
3629,57539667,【VENUS出品-爵士乐唱盤名鉴】
3703,701928269,春风十里不如你
3727,599492617,只是建这个歌单 自己想安静看书时听～
3759,642798355,Creyson Chance(未变声)
3784,519704226,.ye
3800,537313106,「小酒馆」剑与魔法，冒险之旅
3839,4262912,那些充满质感的声音
4012,89258186,躺在床上也能嗨 缠绵和电音的奇妙融合
4034,464303091,EdmundDZhang
4134,717846916,暗黑威肯
4183,445959714,Over The Horizon-SAMSUNG GALAXY THEME
4193,35772488,那曾阳光明媚的夏天
4258,392991828,【情怀录】泱泱华夏，千古风华
4304,711848230,think . 静
4350,44694970,滑滑板专用背景音乐
4388,127563921,半音阶 复音以及布鲁斯口琴
4512,151621255,宗教信仰、领土纷争之冷兵器战争
4733,85522712,【原声大碟】再次出发之纽约遇见你
4751,30094851,梦里桃花，倾国容颜黯了天色，也黯了相思
4822,58020555,【欧美】前奏控 & 节奏控 & 迷人の声线
4837,525106382,行云流水
4903,557564085,『纯音乐』旋律寓予情，乐符寄以心
4968,715255559,黑框眼镜
4989,370389263,DeadWeight
5015,530745505,『无前奏』开口脆，一秒沦陷韩语柔情曲
5092,607456982,【神曲】电子 2
5192,488071179,日语｜风花雪月，流连旧时景
5221,120368043,1991
5291,363476047,Popping
5361,68839891,【消消暑】分你支棒冰様清音(๑´ڡ`๑)
5474,707536911,farrux
5485,704899655,私藏最爱的合集1
5515,594210664,用力走，长大后……
5623,580273110,电影男人 ' 雅痞不羁 硬汉无言
5731,553382471,Our Favorite Pop
5897,109385529,朋克
6084,158007085,写小说专用开脑洞、飞向无垠边界必备
6099,480774665,【异域风情 / 魅惑陷阱】
6119,68753520,燃烧吧，那些让灵魂颤抖的古典钢琴！
6174,575727435,【1M舞室】Yoojung Lee 编舞作品 歌单整理
6273,26362179,给妈妈听的歌
6423,149204697,幻想乡的声音，美不胜收
6510,601137143,抖腿必备！瞬间爆炸！
6704,595431953,肥瑞的疯狂日记（全二季）
6892,164180586,迷你咖啡Bar❤️爵士^ Jazz❤️
6953,107997568,一只民谣狗的听歌史
7057,416296580,谭咏麟翻唱外文原曲
7142,64538109,-化妆时听的歌
7287,612189147,|励志|命运是一条孤独的河，作自己的摆渡人
7332,34542541,地下乡愁蓝调
7459,88253981,【2015】手机里的二十首夏日单曲
7479,702340217,那些无法忘怀的老歌
7508,23231739,上班下班的步伐节奏。
7527,37852599,星宿•天宫•太空漫游【氛围】
7538,405997833,电音//2016猫厂单曲合集
7649,692084262,外语民谣｜异国殊途，他乡明月
7728,48981424,【感动从音乐开始：印度电影的音乐世界】
7771,507927010,[韩语冷门]想开家咖啡馆，整天循环这些歌Ⅳ
7804,543975898,迷笛跨年2017
7853,385436913,华语热搜
8081,633092759,旅游～～专用BGM（Trap）
8117,8559972,纳西古乐 • Naxi Ancient Music
8131,152675757,【小李子莱昂纳多的经典影视作品】精选金曲
8163,92565402,听说你玩Minecraft下矿会害怕？
8215,486555874,【英文】安静如水，缠绵如梦
8284,102367840,中文说唱！~
8382,473141053,Michael Jackson ' selection
8545,646717518,成都兰桂坊必备炸曲
8716,113282553,温柔到心碎的声音
8747,697155506,兽与人y
8761,618862414,四大天王天后｜经典珍藏
8827,9081955,德国工业重金精选
8883,386400687,【K-Indie】欧美制作感的韩国独立音乐
8934,714383693,Sentimental Green
8949,161008917,【剑三纯阳】御剑绝云气，悟道负青天。
9046,706934486,在孤独的夜里，唯有这首轻音与你相伴
9069,160877728,◎ Pitbull 【皮普保罗】精选集 45首
9114,431651223,泰语流行歌曲精选
9144,703578331,儿歌二十首
9164,611250607,［叁月］，寒尽绿出眠
9203,44662653,让我不断循环的欧美单曲
9249,697751013,被电击的酥麻感
9323,141566913,CCTV请您欣赏背景音乐
9349,61972221,古风男神好基友合唱精选
9480,561759222,DotaBGM - ESLOne云顶
9497,54710657,魔塔大陆～Hymmnos〖史诗级圣歌〗
9935,633631690,美国，韩国......nah xiliri
10214,545944443,2016年韩国KBS调查最受欢迎的韩流明星
10234,623586752,清风精选DJ&英文Mashup
10292,717325181,Cold
10405,33668190,超级马里奥31周年
10428,649590995,『欧美女声』让你听一次就会爱上的歌
10602,378256864,胴.                            {体}
11474,503578287,【50个传奇】预告片音乐给你灵魂的洗礼
11524,567836418,『古风』三生石畔奈何桥，孟婆几劝俗世小。
11605,555397151,我只存在二次元
11780,502604397,             ᶦ'ᶬ  ₁₀₀%   ᶜᶹᶹᶩ
12001,513285839,KTV 练习曲之粤语篇
12231,22164283,德语 儿童歌曲 精选
12242,702484983,2017 Tr❤nce .
12283,638408708,〖 SleepNite 〗
12309,717445377,80年代金典作品
12391,422605114,史上公认的最好听英文歌
12442,369777144,中文最屌
12623,585079639,EA7 （music)）那些极品deep好曲
12716,616018122,【偏爱老歌.邓丽君篇】
12766,416282864,【粤语女声】弦乐声始 便红掉两眼
12970,570333904,【来自西海岸】 っRazès（2017
13383,118663384,当过千评论的华语翻唱遇上“原唱”【更新】
13832,642185352,2017 Ultra Music Festival Miami迈阿密
14334,691903111,VIP级《男声》
14893,627916168,Rave狗只需要电音
